model_id,instance_id,clean_latency_ms,acquired_probe_latency_ms,total_generation_latency_ms,normalized_latency,additional_passes
Qwen/Qwen3-VL-8B-Instruct,vizwiz_VizWiz_val_00002910_2910,550.4453182220459,5894.341707229614,6444.78702545166,11.70831472646276,5
Qwen/Qwen3-VL-8B-Instruct,vizwiz_VizWiz_val_00002692_2692,4356.149196624756,32406.301021575928,36762.45021820068,8.43920824536613,6
google/gemma-4-E4B-it,vizwiz_VizWiz_val_00002060_2060,404.91676330566406,7294.62456703186,7699.541330337524,19.015121200416406,6
google/gemma-4-E4B-it,hallusionbench_1006_1006,175.82201957702637,8770.302772521973,8946.124792098999,50.881708750818696,6
Qwen/Qwen3-VL-8B-Instruct,pope_random_144_random_144,143.57709884643555,3276.7536640167236,3420.330762863159,23.822258496262076,6
Qwen/Qwen3-VL-8B-Instruct,vsr_34_34,398.3650207519531,4220.759391784668,4619.124412536621,11.59520583362859,6
google/gemma-4-E4B-it,pope_random_1991_random_1991,169.8901653289795,851.4902591705322,1021.3804244995117,6.012004417805383,5
google/gemma-4-E4B-it,vizwiz_VizWiz_val_00002728_2728,744.9254989624023,5767.95768737793,6512.883186340332,8.74299939445226,3
google/gemma-4-E4B-it,vizwiz_VizWiz_val_00001666_1666,866.9254779815674,8667.511940002441,9534.437417984009,10.99798963133799,6
Qwen/Qwen3-VL-8B-Instruct,vizwiz_VizWiz_val_00002491_2491,980.9045791625977,6377.8040409088135,7358.708620071411,7.501961736536669,5
Qwen/Qwen3-VL-8B-Instruct,pope_random_316_random_316,583.2474231719971,5745.670318603516,6328.917741775513,10.851171373129484,6
google/gemma-4-E4B-it,pope_random_777_random_777,174.39866065979004,868.3168888092041,1042.7155494689941,5.978919479795101,5
google/gemma-4-E4B-it,vizwiz_VizWiz_val_00000955_955,2708.8401317596436,8472.148418426514,11180.988550186157,4.127592625011453,2
google/gemma-4-E4B-it,pope_random_1680_random_1680,174.71694946289062,4675.024032592773,4849.740982055664,27.757701796903998,6
google/gemma-4-E4B-it,vizwiz_VizWiz_val_00002555_2555,226.92036628723145,4843.514680862427,5070.435047149658,22.34455694792771,6
google/gemma-4-E4B-it,vizwiz_VizWiz_val_00001396_1396,349.00689125061035,5580.563068389893,5929.569959640503,16.989836327852547,4
Qwen/Qwen3-VL-8B-Instruct,pope_random_964_random_964,163.56706619262695,3512.7735137939453,3676.3405799865723,22.47604402011515,6
Qwen/Qwen3-VL-8B-Instruct,vizwiz_VizWiz_val_00002101_2101,1729.3622493743896,14016.54601097107,15745.908260345459,9.105037574424713,4
google/gemma-4-E4B-it,pope_random_329_random_329,169.72970962524414,850.8265018463135,1020.5562114715576,6.01283189445679,5
Qwen/Qwen3-VL-8B-Instruct,hallusionbench_725_725,150.65455436706543,7575.943946838379,7726.598501205444,51.286856435682736,5
