condition,maximum_budget,target_coverage,row_count,mean_acquisition_cost,source_bit_macro_f1,source_bit_micro_f1,six_way_macro_f1,coverage,average_set_size,pareto_nondominated
oracle_next,2,0.9,2400,1.9708333333333334,0.8878189226837598,0.881824161368121,0.73235770794119,0.9175,2.8220833333333335,True
oracle_next,2,0.95,2400,1.9708333333333334,0.8878189226837598,0.881824161368121,0.73235770794119,0.9958333333333333,4.761666666666667,True
oracle_next,3,0.9,2400,2.88625,0.9332680923319177,0.9272563987427032,0.7718768912149606,0.9429166666666666,2.890833333333333,True
oracle_next,3,0.95,2400,2.88625,0.9332680923319177,0.9272563987427032,0.7718768912149606,0.9995833333333334,4.427083333333333,True
oracle_next,4,0.9,2400,3.4916666666666667,0.9343608355978231,0.9287003610108303,0.7746237118863372,0.9575,3.12625,False
oracle_next,4,0.95,2400,3.4916666666666667,0.9343608355978231,0.9287003610108303,0.7746237118863372,0.9958333333333333,3.8404166666666666,False
oracle_next,7,0.9,2400,3.11375,0.8715541333814943,0.8606271777003485,0.6871594899610908,0.97375,3.4170833333333333,False
oracle_next,7,0.95,2400,3.11375,0.8715541333814943,0.8606271777003485,0.6871594899610908,0.97375,3.4170833333333333,False
proactive,1,0.9,2400,1.0,0.6658520995960339,0.6855486173059768,0.37415966056406363,0.9466666666666667,3.9466666666666668,False
proactive,1,0.95,2400,1.0,0.6658520995960339,0.6855486173059768,0.37415966056406363,0.9779166666666667,4.275833333333333,False
proactive,2,0.9,2400,1.9908333333333332,0.8191021265955643,0.8260211800302572,0.48906339401222226,0.9666666666666667,3.6733333333333333,False
proactive,2,0.95,2400,1.9908333333333332,0.8191021265955643,0.8260211800302572,0.48906339401222226,0.9979166666666667,5.087916666666667,False
proactive,3,0.9,2400,2.986666666666667,0.9184379993726685,0.916234247590808,0.6379170014594523,0.9729166666666667,3.4275,False
proactive,3,0.95,2400,2.986666666666667,0.9184379993726685,0.916234247590808,0.6379170014594523,0.9979166666666667,4.837083333333333,False
proactive,4,0.9,2400,3.9704166666666665,0.9625353395321646,0.9602535966837357,0.7193148580566034,0.9808333333333333,4.102083333333334,False
proactive,4,0.95,2400,3.9704166666666665,0.9625353395321646,0.9602535966837357,0.7193148580566034,0.9983333333333333,4.6275,False
proactive,7,0.9,2400,5.5775,0.9882439872026612,0.9875598086124402,0.7456325201087722,0.99875,4.543333333333333,True
proactive,7,0.95,2400,5.5775,0.9882439872026612,0.9875598086124402,0.7456325201087722,0.99875,4.543333333333333,True
proactive_no_stop,1,0.9,2400,1.0,0.6658520995960339,0.6855486173059768,0.37415966056406363,0.9466666666666667,3.9466666666666668,False
proactive_no_stop,1,0.95,2400,1.0,0.6658520995960339,0.6855486173059768,0.37415966056406363,0.9779166666666667,4.275833333333333,False
proactive_no_stop,2,0.9,2400,2.0,0.8189163441146903,0.8258129568943786,0.48906339401222226,0.9658333333333333,3.6725,False
proactive_no_stop,2,0.95,2400,2.0,0.8189163441146903,0.8258129568943786,0.48906339401222226,0.9979166666666667,5.09375,False
proactive_no_stop,3,0.9,2400,3.0,0.9186389693604667,0.916501976284585,0.6379170014594523,0.9720833333333333,3.4275,False
proactive_no_stop,3,0.95,2400,3.0,0.9186389693604667,0.916501976284585,0.6379170014594523,0.9975,4.8375,False
proactive_no_stop,4,0.9,2400,4.0,0.9625353395321646,0.9602535966837357,0.7193148580566034,0.9808333333333333,4.089583333333334,False
proactive_no_stop,4,0.95,2400,4.0,0.9625353395321646,0.9602535966837357,0.7193148580566034,0.9983333333333333,4.608333333333333,False
proactive_no_stop,7,0.9,2400,6.0,0.9945310972449599,0.9945146673026473,0.7697286824384438,0.99875,4.515416666666667,True
proactive_no_stop,7,0.95,2400,6.0,0.9945310972449599,0.9945146673026473,0.7697286824384438,0.99875,4.515416666666667,True
random,1,0.9,2400,1.0,0.6200596357025572,0.6084066471163245,0.3196429806689546,0.92625,4.326666666666667,False
random,1,0.95,2400,1.0,0.6200596357025572,0.6084066471163245,0.3196429806689546,0.9470833333333334,4.492083333333333,False
random,2,0.9,2400,2.0,0.7002023149453208,0.6911491644316072,0.39994682414860144,0.94125,4.05375,False
random,2,0.95,2400,2.0,0.7002023149453208,0.6911491644316072,0.39994682414860144,0.9858333333333333,5.207083333333333,False
random,3,0.9,2400,3.0,0.7710920119470642,0.7653194263363755,0.48639063202092964,0.9641666666666666,3.8775,False
random,3,0.95,2400,3.0,0.7710920119470642,0.7653194263363755,0.48639063202092964,0.9908333333333333,4.989583333333333,False
random,4,0.9,2400,4.0,0.8447447966168024,0.8395396073121192,0.5743964801979201,0.9795833333333334,4.2725,False
random,4,0.95,2400,4.0,0.8447447966168024,0.8395396073121192,0.5743964801979201,0.9933333333333333,4.839166666666666,False
random,7,0.9,2400,6.0,0.9945310972449599,0.9945146673026473,0.7697286824384438,0.99875,4.515416666666667,True
random,7,0.95,2400,6.0,0.9945310972449599,0.9945146673026473,0.7697286824384438,0.99875,4.515416666666667,True
relation_first,1,0.9,2400,1.0,0.6610558756594717,0.584060932565484,0.28114625553069034,0.9866666666666667,4.55125,False
relation_first,1,0.95,2400,1.0,0.6610558756594717,0.584060932565484,0.28114625553069034,0.9979166666666667,4.6225,False
relation_first,2,0.9,2400,2.0,0.8415138169558946,0.8233884495566739,0.4848169843956837,0.9941666666666666,3.83125,False
relation_first,2,0.95,2400,2.0,0.8415138169558946,0.8233884495566739,0.4848169843956837,0.9991666666666666,5.187083333333334,False
relation_first,3,0.9,2400,3.0,0.9348807034078676,0.930460333006856,0.6670449993609356,0.9816666666666667,3.4483333333333333,False
relation_first,3,0.95,2400,3.0,0.9348807034078676,0.930460333006856,0.6670449993609356,0.9995833333333334,4.835,False
relation_first,4,0.9,2400,4.0,0.9668596563694608,0.9645909645909646,0.7330634300240249,0.97875,4.044583333333334,False
relation_first,4,0.95,2400,4.0,0.9668596563694608,0.9645909645909646,0.7330634300240249,0.99875,4.598333333333334,False
relation_first,7,0.9,2400,6.0,0.9945310972449599,0.9945146673026473,0.7697286824384438,0.99875,4.515416666666667,True
relation_first,7,0.95,2400,6.0,0.9945310972449599,0.9945146673026473,0.7697286824384438,0.99875,4.515416666666667,True
scalar_confidence,1,0.9,2400,0.0,0.5269192708991529,0.5056662758890191,0.21433429904104986,0.8666666666666667,3.8029166666666665,False
scalar_confidence,1,0.95,2400,0.0,0.5269192708991529,0.5056662758890191,0.21433429904104986,0.9391666666666667,5.317083333333334,False
scalar_confidence,2,0.9,2400,0.0,0.5269192708991529,0.5056662758890191,0.21433429904104986,0.8666666666666667,3.8029166666666665,False
scalar_confidence,2,0.95,2400,0.0,0.5269192708991529,0.5056662758890191,0.21433429904104986,0.9391666666666667,5.317083333333334,False
scalar_confidence,3,0.9,2400,0.0,0.5269192708991529,0.5056662758890191,0.21433429904104986,0.8666666666666667,3.8029166666666665,False
scalar_confidence,3,0.95,2400,0.0,0.5269192708991529,0.5056662758890191,0.21433429904104986,0.9391666666666667,5.317083333333334,False
scalar_confidence,4,0.9,2400,0.0,0.5269192708991529,0.5056662758890191,0.21433429904104986,0.8666666666666667,3.8029166666666665,False
scalar_confidence,4,0.95,2400,0.0,0.5269192708991529,0.5056662758890191,0.21433429904104986,0.9391666666666667,5.317083333333334,False
