model_id,instance_id,clean_latency_ms,acquired_probe_latency_ms,total_generation_latency_ms,normalized_latency,additional_passes
google/gemma-4-E4B-it,prehal_1000782_bdcf91658def7ba5_1407,174.7729778289795,7249.695539474487,7424.468517303467,42.48064322946153,6
Qwen/Qwen3-VL-8B-Instruct,illusionbench_10029022_4,2195.347785949707,19364.624977111816,21559.972763061523,9.820755007951819,6
Qwen/Qwen3-VL-8B-Instruct,illusionbench_10081040_4,216.51768684387207,5625.868320465088,5842.38600730896,26.98341226747829,6
Qwen/Qwen3-VL-8B-Instruct,prehal_dcdd424743321b4d_75cd0ec86b4ba31c_8863,803.8687705993652,7676.299095153809,8480.167865753174,10.549194316169732,6
Qwen/Qwen3-VL-8B-Instruct,illusionbench_10032004_3,785.6519222259521,10791.46933555603,11577.121257781982,14.735687561205282,5
Qwen/Qwen3-VL-8B-Instruct,prehal_1824_918dd27450447403_875,250.6403923034668,4882.183074951172,5132.823467254639,20.478835913406932,6
google/gemma-4-E4B-it,prehal_2000803_3b9ae084aa41a86f_2297,352.0948886871338,8494.545698165894,8846.640586853027,25.125728521194237,4
Qwen/Qwen3-VL-8B-Instruct,illusionbench_10065026_4,287.8577709197998,9993.979930877686,10281.837701797485,35.718464952131214,6
Qwen/Qwen3-VL-8B-Instruct,illusionbench_10032014_0,296.68688774108887,6295.841455459595,6592.528343200684,22.22049108201174,5
google/gemma-4-E4B-it,illusionbench_10049013_2,271.5911865234375,6891.916751861572,7163.50793838501,26.376069231417496,6
google/gemma-4-E4B-it,illusionbench_10107012_3,345.51453590393066,8564.997911453247,8910.512447357178,25.789110215133526,6
Qwen/Qwen3-VL-8B-Instruct,illusionbench_10024002_1,222.43189811706543,6625.036716461182,6847.468614578247,30.78456225273247,6
google/gemma-4-E4B-it,prehal_COCO_val2014_000000424842_3a5bc46a152285bb_6117,351.3617515563965,6641.066312789917,6992.4280643463135,19.90093694994565,6
Qwen/Qwen3-VL-8B-Instruct,prehal_c2b9ea7fa6acb336_27f5501838b80157_8484,551.9990921020508,7946.934700012207,8498.933792114258,15.39664451213086,6
google/gemma-4-E4B-it,illusionbench_10081013_4,403.08618545532227,18807.403564453125,19210.489749908447,47.65851682118171,6
Qwen/Qwen3-VL-8B-Instruct,prehal_COCO_val2014_000000291394_5bf87fd2092ef3c6_9490,269.4694995880127,4616.727352142334,4886.196851730347,18.13265270912207,6
Qwen/Qwen3-VL-8B-Instruct,illusionbench_10201032_3,161.4089012145996,3378.7808418273926,3540.189743041992,21.9330515008907,6
Qwen/Qwen3-VL-8B-Instruct,illusionbench_10032003_0,771.0254192352295,8406.461000442505,9177.486419677734,11.902962199068313,5
Qwen/Qwen3-VL-8B-Instruct,illusionbench_10049012_4,202.84175872802734,5170.912981033325,5373.7547397613525,26.492349373516067,3
Qwen/Qwen3-VL-8B-Instruct,prehal_3000711_ec61362e2f5794e9_3014,263.5626792907715,6700.676202774048,6964.238882064819,26.42346367401141,6
Qwen/Qwen3-VL-8B-Instruct,illusionbench_10055003_0,359.1015338897705,7071.865558624268,7430.967092514038,20.69322013755319,6
Qwen/Qwen3-VL-8B-Instruct,illusionbench_10045026_0,402.9679298400879,7331.547260284424,7734.515190124512,19.193872805694102,6
google/gemma-4-E4B-it,prehal_43d4dc03abe1d2de_600443ff17f4295f_6794,315.5865669250488,3775.428056716919,4091.014623641968,12.963208996831527,5
Qwen/Qwen3-VL-8B-Instruct,illusionbench_10078027_4,1308.692455291748,11489.182472229004,12797.874927520752,9.779130975938658,6
google/gemma-4-E4B-it,illusionbench_10063029_0,399.05452728271484,6589.345455169678,6988.399982452393,17.512393682233252,6
Qwen/Qwen3-VL-8B-Instruct,illusionbench_10107033_2,498.4443187713623,8533.812761306763,9032.257080078125,18.12089483202886,5
Qwen/Qwen3-VL-8B-Instruct,illusionbench_10107039_0,2772.5296020507812,20392.00758934021,23164.53719139099,8.355018887537458,6
Qwen/Qwen3-VL-8B-Instruct,prehal_ab40e0b2d821b440_c55324a22ea8f800_8186,649.2083072662354,6975.056886672974,7624.265193939209,11.743942750893599,6
Qwen/Qwen3-VL-8B-Instruct,illusionbench_10123008_8,159.78503227233887,3755.59663772583,3915.381669998169,24.504057822667406,4
