condition,maximum_budget,target_coverage,metric,estimate,ci_lower,ci_upper,confidence,resamples,group_count,row_count
grounding_first,2,0.95,mean_acquisition_cost,2.0,2.0,2.0,0.95,2000,1048,2400
grounding_first,3,0.9,source_bit_macro_f1,0.9348807034078676,0.9271396151938998,0.9427751992069204,0.95,2000,1048,2400
grounding_first,3,0.9,six_way_macro_f1,0.6670449993609356,0.6486449887296755,0.6835713151346254,0.95,2000,1048,2400
grounding_first,3,0.9,empirical_coverage,0.9816666666666667,0.97624704218107,0.9866558242980261,0.95,2000,1048,2400
grounding_first,3,0.9,average_set_size,3.4483333333333333,3.3861143899889323,3.507008729146867,0.95,2000,1048,2400
grounding_first,3,0.9,mean_acquisition_cost,3.0,3.0,3.0,0.95,2000,1048,2400
grounding_first,3,0.95,source_bit_macro_f1,0.9348807034078676,0.9271396151938998,0.9427751992069204,0.95,2000,1048,2400
grounding_first,3,0.95,six_way_macro_f1,0.6670449993609356,0.6486449887296755,0.6835713151346254,0.95,2000,1048,2400
grounding_first,3,0.95,empirical_coverage,0.9995833333333334,0.9987298899237934,1.0,0.95,2000,1048,2400
grounding_first,3,0.95,average_set_size,4.835,4.775580791940326,4.897035628594616,0.95,2000,1048,2400
grounding_first,3,0.95,mean_acquisition_cost,3.0,3.0,3.0,0.95,2000,1048,2400
grounding_first,4,0.9,source_bit_macro_f1,0.9668596563694608,0.9611439531275455,0.9722190793508991,0.95,2000,1048,2400
grounding_first,4,0.9,six_way_macro_f1,0.7330634300240249,0.7169692606603291,0.7466372447944513,0.95,2000,1048,2400
grounding_first,4,0.9,empirical_coverage,0.97875,0.9730063729200836,0.9842845326716294,0.95,2000,1048,2400
grounding_first,4,0.9,average_set_size,4.044583333333334,3.9667612333711224,4.115029387069689,0.95,2000,1048,2400
grounding_first,4,0.9,mean_acquisition_cost,4.0,4.0,4.0,0.95,2000,1048,2400
grounding_first,4,0.95,source_bit_macro_f1,0.9668596563694608,0.9611439531275455,0.9722190793508991,0.95,2000,1048,2400
grounding_first,4,0.95,six_way_macro_f1,0.7330634300240249,0.7169692606603291,0.7466372447944513,0.95,2000,1048,2400
grounding_first,4,0.95,empirical_coverage,0.99875,0.9971119721657596,1.0,0.95,2000,1048,2400
grounding_first,4,0.95,average_set_size,4.598333333333334,4.5307313328249625,4.664887752427911,0.95,2000,1048,2400
grounding_first,4,0.95,mean_acquisition_cost,4.0,4.0,4.0,0.95,2000,1048,2400
grounding_first,7,0.9,source_bit_macro_f1,0.9945310972449599,0.9920802884126384,0.9966753989779944,0.95,2000,1048,2400
grounding_first,7,0.9,six_way_macro_f1,0.7697286824384438,0.7573132627672257,0.7812631955653211,0.95,2000,1048,2400
grounding_first,7,0.9,empirical_coverage,0.99875,0.9971167901457942,1.0,0.95,2000,1048,2400
grounding_first,7,0.9,average_set_size,4.515416666666667,4.441157475490196,4.590373477809399,0.95,2000,1048,2400
grounding_first,7,0.9,mean_acquisition_cost,6.0,6.0,6.0,0.95,2000,1048,2400
grounding_first,7,0.95,source_bit_macro_f1,0.9945310972449599,0.9920802884126384,0.9966753989779944,0.95,2000,1048,2400
grounding_first,7,0.95,six_way_macro_f1,0.7697286824384438,0.7573132627672257,0.7812631955653211,0.95,2000,1048,2400
grounding_first,7,0.95,empirical_coverage,0.99875,0.9971167901457942,1.0,0.95,2000,1048,2400
grounding_first,7,0.95,average_set_size,4.515416666666667,4.441157475490196,4.590373477809399,0.95,2000,1048,2400
grounding_first,7,0.95,mean_acquisition_cost,6.0,6.0,6.0,0.95,2000,1048,2400
one_pass_distilled,1,0.9,source_bit_macro_f1,0.5795072096247913,0.5620758561008895,0.5967053577807638,0.95,2000,1048,2400
one_pass_distilled,1,0.9,six_way_macro_f1,0.14625181094921727,0.13882114850159363,0.15395802975127143,0.95,2000,1048,2400
one_pass_distilled,1,0.9,empirical_coverage,0.925,0.9138651565325223,0.9362072982650765,0.95,2000,1048,2400
one_pass_distilled,1,0.9,average_set_size,4.705416666666666,4.668046102537452,4.740959546753314,0.95,2000,1048,2400
one_pass_distilled,1,0.9,mean_acquisition_cost,0.0,0.0,0.0,0.95,2000,1048,2400
one_pass_distilled,1,0.95,source_bit_macro_f1,0.5795072096247913,0.5620758561008895,0.5967053577807638,0.95,2000,1048,2400
one_pass_distilled,1,0.95,six_way_macro_f1,0.14625181094921727,0.13882114850159363,0.15395802975127143,0.95,2000,1048,2400
one_pass_distilled,1,0.95,empirical_coverage,0.92625,0.915211787782007,0.9371284779675957,0.95,2000,1048,2400
one_pass_distilled,1,0.95,average_set_size,4.718333333333334,4.682818666722888,4.752945318972659,0.95,2000,1048,2400
one_pass_distilled,1,0.95,mean_acquisition_cost,0.0,0.0,0.0,0.95,2000,1048,2400
one_pass_distilled,2,0.9,source_bit_macro_f1,0.5795072096247913,0.5620758561008895,0.5967053577807638,0.95,2000,1048,2400
one_pass_distilled,2,0.9,six_way_macro_f1,0.14625181094921727,0.13882114850159363,0.15395802975127143,0.95,2000,1048,2400
one_pass_distilled,2,0.9,empirical_coverage,0.925,0.9138651565325223,0.9362072982650765,0.95,2000,1048,2400
one_pass_distilled,2,0.9,average_set_size,4.705416666666666,4.668046102537452,4.740959546753314,0.95,2000,1048,2400
one_pass_distilled,2,0.9,mean_acquisition_cost,0.0,0.0,0.0,0.95,2000,1048,2400
one_pass_distilled,2,0.95,source_bit_macro_f1,0.5795072096247913,0.5620758561008895,0.5967053577807638,0.95,2000,1048,2400
one_pass_distilled,2,0.95,six_way_macro_f1,0.14625181094921727,0.13882114850159363,0.15395802975127143,0.95,2000,1048,2400
one_pass_distilled,2,0.95,empirical_coverage,0.92625,0.915211787782007,0.9371284779675957,0.95,2000,1048,2400
one_pass_distilled,2,0.95,average_set_size,4.718333333333334,4.682818666722888,4.752945318972659,0.95,2000,1048,2400
one_pass_distilled,2,0.95,mean_acquisition_cost,0.0,0.0,0.0,0.95,2000,1048,2400
one_pass_distilled,3,0.9,source_bit_macro_f1,0.5795072096247913,0.5620758561008895,0.5967053577807638,0.95,2000,1048,2400
one_pass_distilled,3,0.9,six_way_macro_f1,0.14625181094921727,0.13882114850159363,0.15395802975127143,0.95,2000,1048,2400
one_pass_distilled,3,0.9,empirical_coverage,0.925,0.9138651565325223,0.9362072982650765,0.95,2000,1048,2400
