ablation_id,evaluation_split,augmented_max,augmented_mean,canonical_max,canonical_mean,canonical_minus_augmented_mean,comparison_average_set_size,comparison_coverage,comparison_mean_acquisition_cost,comparison_six_way_macro_f1,comparison_source_bit_macro_f1,controller_latency_ms_mean,maximum_budget,measured_examples,metric,normalized_latency_mean,reference_average_set_size,reference_coverage,reference_mean_acquisition_cost,reference_minus_comparison_average_set_size,reference_minus_comparison_coverage,reference_minus_comparison_mean_acquisition_cost,reference_minus_comparison_six_way_macro_f1,reference_minus_comparison_source_bit_macro_f1,reference_six_way_macro_f1,reference_source_bit_macro_f1,row_count,target_coverage,total_generation_latency_ms_mean
no_confidence_shift,val,,,,,,2.3304843304843303,0.9002849002849003,1.997150997150997,0.700180436681014,0.9471800156157392,,2,,,,2.690883190883191,0.9031339031339032,1.9985754985754987,0.3603988603988606,0.002849002849002913,0.0014245014245015675,0.007077864150183744,0.002735415452208678,0.7072583008311978,0.9499154310679478,1404,0.95,
no_confidence_shift,val,,,,,,1.8468660968660968,0.8297720797720798,2.9366096866096867,0.7650574265856108,0.974018437365633,,3,,,,1.9024216524216524,0.8133903133903134,2.990740740740741,0.05555555555555558,-0.01638176638176636,0.054131054131054235,0.01779396385478149,-0.0011231557368220901,0.7828513904403923,0.9728952816288109,1404,0.9,
no_confidence_shift,val,,,,,,2.6232193732193734,0.8981481481481481,2.9366096866096867,0.7650574265856108,0.974018437365633,,3,,,,2.7037037037037037,0.8974358974358975,2.990740740740741,0.08048433048433035,-0.0007122507122506727,0.054131054131054235,0.01779396385478149,-0.0011231557368220901,0.7828513904403923,0.9728952816288109,1404,0.95,
no_confidence_shift,val,,,,,,1.7735042735042734,0.8247863247863247,3.801282051282051,0.8227939776716092,0.9859999896686239,,4,,,,1.8183760683760684,0.8069800569800569,3.8732193732193734,0.044871794871794934,-0.017806267806267817,0.07193732193732227,-0.01632863605753121,-0.0015407191996714698,0.806465341614078,0.9844592704689524,1404,0.9,
no_confidence_shift,val,,,,,,3.0235042735042734,0.9002849002849003,3.801282051282051,0.8227939776716092,0.9859999896686239,,4,,,,2.777065527065527,0.8881766381766382,3.8732193732193734,-0.2464387464387463,-0.012108262108262102,0.07193732193732227,-0.01632863605753121,-0.0015407191996714698,0.806465341614078,0.9844592704689524,1404,0.95,
no_confidence_shift,val,,,,,,2.1445868945868947,0.8361823361823362,4.814814814814815,0.8406694505121423,0.9927426779676836,,7,,,,1.7542735042735043,0.8162393162393162,5.061253561253562,-0.3903133903133904,-0.019943019943019946,0.24643874643874675,0.008626624934388927,0.002101597582969128,0.8492960754465312,0.9948442755506527,1404,0.9,
no_confidence_shift,val,,,,,,3.6517094017094016,0.8952991452991453,4.814814814814815,0.8406694505121423,0.9927426779676836,,7,,,,3.572649572649573,0.8867521367521367,5.061253561253562,-0.07905982905982878,-0.008547008547008628,0.24643874643874675,0.008626624934388927,0.002101597582969128,0.8492960754465312,0.9948442755506527,1404,0.95,
no_semantic_match,val,,,,,,2.284188034188034,0.8226495726495726,1.0,0.5386346224614278,0.876314029869583,,1,,,,2.5947293447293447,0.8625356125356125,1.0,0.3105413105413106,0.03988603988603989,0.0,0.04100041589483627,0.021766498566577974,0.5796350383562641,0.8980805284361609,1404,0.9,
no_semantic_match,val,,,,,,2.53988603988604,0.9266381766381766,1.0,0.5386346224614278,0.876314029869583,,1,,,,3.0035612535612537,0.9131054131054132,1.0,0.4636752136752138,-0.013532763532763448,0.0,0.04100041589483627,0.021766498566577974,0.5796350383562641,0.8980805284361609,1404,0.95,
no_semantic_match,val,,,,,,1.774928774928775,0.8027065527065527,1.9978632478632479,0.7024804898967383,0.9132620928191626,,2,,,,2.1253561253561255,0.8376068376068376,1.9985754985754987,0.3504273504273505,0.03490028490028496,0.0007122507122507837,0.004777810934459503,0.03665333824878525,0.7072583008311978,0.9499154310679478,1404,0.9,
